"station","latitude","longitude"
109,4049.26999778193,586.32747003437
110,4049.16110782274,574.697603296034
112,4057.1181437755,594.141744290651
113,4056.0951362653,584.31895205331
114,4069.58746558074,600.851171735632
115,4063.06416305578,597.060069150542
116,4066.51365250161,590.913263673789
117,4062.32560096657,579.201474454839
119,4078.34883171704,590.644599927929
123,4093.44172167275,562.892180879544
124,4092.47305872869,556.072337041101
125,4091.3239107527,549.69721239827
126,4091.81214899464,536.645106334483
127,4093.2360307285,521.652146932193
131,4124.91504201576,538.859986980678
132,4124.69439079366,531.182641813231
133,4123.54771490495,518.621590908087
134,4126.12307549535,501.037166996133
135,4126.74527533037,485.755498681489
138,4172.53378321125,507.642933772317
139,4182.33463870948,511.296704237183
152,4167.72691842534,496.762875273201
154,4168.30208956015,481.328236131781
156,4175.49893130174,489.716142459028
160,4193.65619098549,472.592712422051
162,4193.9137000713,456.625829357556
165,4224.67715182904,499.710938929068
167,4224.32574359956,484.521389882869
170,4224.18879940943,467.149851181818
171,4225.10984604109,459.734464320089
174,4224.73445566493,439.71604606397
211,4049.21207224941,559.953509885915
212,4046.79915514113,542.171849811387
237,4162.74479917116,513.529992163619
