"time","trend_number","estimate","lower","upper"
1990,"Trend 1",0.224239577516686,-0.290644878890645,0.771540067124323
1991,"Trend 1",0.651019069762422,0.128229875476822,1.21694878198858
1992,"Trend 1",-0.16269354016114,-0.709489913474935,0.370458832246791
1993,"Trend 1",0.63401284775493,0.0995621320456928,1.22482793375872
1994,"Trend 1",-0.458033575431851,-0.98881210310323,0.0329064780674787
1995,"Trend 1",-0.799451325553399,-1.44347983704871,-0.234381757131375
1996,"Trend 1",-0.948860246817078,-1.6154581380219,-0.338302667915333
1997,"Trend 1",-0.673361629572811,-1.25703553235551,-0.162740938533029
1998,"Trend 1",-1.53375463809985,-2.29245709789259,-0.869293329579131
1999,"Trend 1",-1.0214434333227,-1.67113875634291,-0.465395358103084
2000,"Trend 1",-0.413742088806769,-1.005586759929,0.130781636955001
2001,"Trend 1",0.431175941366605,-0.0716185907818435,0.953803890449985
2002,"Trend 1",0.442577517753475,-0.0822159660902547,0.988413482934509
2003,"Trend 1",-0.118584100823109,-0.672269524623935,0.436241600969435
2004,"Trend 1",-0.0472060287267408,-0.609769729383065,0.473580189720895
2005,"Trend 1",-1.78194310391206,-2.68881142350281,-1.02424881000476
2006,"Trend 1",-1.80584399371643,-2.70651275217939,-1.05154456473534
2007,"Trend 1",-1.50245368948079,-2.22889995383061,-0.890163639809233
2008,"Trend 1",-0.188027771652821,-0.775667575306959,0.346317271812545
2009,"Trend 1",0.252450893014046,-0.285486591629562,0.79695097449913
2010,"Trend 1",0.0975875379827434,-0.426549686768133,0.631138004658411
2011,"Trend 1",-0.19702696327502,-0.734906708540596,0.329557759364428
2012,"Trend 1",-0.172805955271045,-0.705312603548445,0.376667755259868
2013,"Trend 1",1.56613693546262,0.98909396436953,2.27043358541306
2014,"Trend 1",1.01610952045179,0.456562014282199,1.67549997310706
2015,"Trend 1",1.75142311647374,1.13305514802238,2.49037925849705
2016,"Trend 1",0.961533405397773,0.422968018040896,1.60328207179201
2017,"Trend 1",0.507248061008594,-0.0518010571705963,1.16753150742645
2018,"Trend 1",0.336178833698455,-0.192616180947673,0.912545184414906
